masses      stau_mix      LO_data      NLO_data      NLO_err      Alpha_err      time_elapsed
8.44180e+02 1.65690e-02 1.11799e-02 1.24553e-02 8.30637e-04 -3.27287e-04 9.32371e+04
1.21870e+03 9.99790e-01 2.37071e-03 2.70132e-03 2.25277e-04 9.35889e-05 9.32371e+04
1.90480e+03 1.00000e+00 4.59586e-05 5.21244e-05 8.51312e-06 3.97792e-07 9.32371e+04
1.83970e+03 9.99950e-01 6.53063e-05 7.67673e-05 1.21976e-05 -5.94826e-07 9.32371e+04
1.53300e+03 -1.21680e-02 1.54357e-04 1.74135e-04 2.02910e-05 -3.69428e-06 9.32371e+04
1.60040e+03 9.99380e-01 2.61784e-04 2.76707e-04 3.15118e-05 -5.24140e-06 9.32371e+04
5.43370e+02 1.00000e+00 2.90412e-01 3.36792e-01 1.42150e-02 -5.57059e-03 9.32371e+04
2.50220e+03 9.99970e-01 1.92645e-06 2.08346e-06 7.16640e-07 7.33377e-09 9.32371e+04
9.99190e+02 9.07860e-05 3.98156e-03 4.24694e-03 3.12724e-04 3.58017e-05 9.32371e+04
3.36760e+03 9.69930e-01 2.34439e-08 2.63535e-08 1.30455e-08 -2.69031e-09 9.32371e+04
2.56520e+03 9.92620e-01 1.34019e-06 1.45875e-06 5.19929e-07 -5.71578e-08 9.32371e+04
1.05490e+03 -1.60870e-01 2.50737e-03 2.98030e-03 2.08038e-04 2.04805e-05 9.32371e+04
1.13050e+03 1.19960e-02 1.64873e-03 1.85770e-03 1.37339e-04 -6.46943e-05 9.32371e+04
9.12460e+02 9.99310e-01 1.68773e-02 1.90648e-02 1.18851e-03 -5.86994e-04 9.32371e+04
2.46110e+03 9.99450e-01 2.34622e-06 2.55613e-06 8.99046e-07 -2.13031e-07 9.32371e+04
2.10080e+02 1.00000e+00 1.56227e+01 1.91210e+01 6.69887e-01 -8.62321e-02 9.32371e+04
1.25400e+03 9.99980e-01 1.94079e-03 2.30214e-03 1.76766e-04 -1.08099e-04 9.32371e+04
8.47140e+02 1.00000e+00 2.69622e-02 3.00660e-02 1.77971e-03 -1.50051e-04 9.32371e+04
1.84970e+03 7.78870e-02 2.71446e-05 3.05115e-05 4.94797e-06 -1.24690e-06 9.32371e+04
2.43930e+03 9.99990e-01 2.73349e-06 3.00385e-06 9.58552e-07 -1.22414e-07 9.32371e+04
1.71690e+03 9.31800e-01 1.11547e-04 1.18027e-04 1.77287e-05 -2.17907e-06 9.32371e+04
1.93030e+03 9.79470e-01 3.86236e-05 4.50825e-05 7.67458e-06 4.97309e-07 9.32371e+04
1.78540e+03 3.28900e-02 3.82398e-05 4.38080e-05 6.73629e-06 -6.50037e-08 9.32371e+04
1.98950e+02 -6.28840e-04 7.17299e+00 8.77049e+00 3.44812e-01 -2.23982e-02 9.32371e+04
9.05410e+02 9.99980e-01 1.76070e-02 2.05329e-02 1.29255e-03 4.50021e-04 9.32371e+04
6.38470e+02 -1.05340e-02 5.00554e-02 5.86689e-02 2.86811e-03 -1.60403e-03 9.32371e+04
1.73500e+03 9.99930e-01 1.21314e-04 1.35093e-04 1.77473e-05 -3.12353e-06 9.32371e+04
1.81690e+03 1.00000e+00 7.73062e-05 8.34234e-05 1.34669e-05 -4.30490e-07 9.32371e+04
5.88790e+02 1.00000e+00 1.88655e-01 2.19305e-01 9.23295e-03 -2.27924e-03 9.32371e+04
2.16590e+03 7.45460e-03 5.01173e-06 5.50551e-06 1.39650e-06 -3.32294e-08 9.32371e+04
8.31810e+02 -3.47250e-02 1.19575e-02 1.33004e-02 8.86555e-04 -2.28647e-04 9.32371e+04
2.13770e+02 2.28410e-03 5.42482e+00 6.94839e+00 1.94075e-01 -6.08032e-03 9.32371e+04
1.13800e+03 9.99800e-01 3.83737e-03 4.36805e-03 2.76138e-04 7.08527e-05 9.32371e+04
1.96650e+03 -2.67980e-03 1.40699e-05 1.66555e-05 3.15933e-06 7.19696e-08 9.32371e+04
9.08610e+02 2.11820e-01 6.60029e-03 8.13707e-03 5.77354e-04 -2.31913e-06 9.32371e+04
1.65290e+03 2.87530e-02 7.79425e-05 9.01928e-05 1.25448e-05 -4.65319e-06 9.32371e+04
6.74220e+02 8.97370e-01 6.87742e-02 8.12401e-02 3.56023e-03 -2.74101e-03 9.32371e+04
2.54170e+03 9.97930e-01 1.55234e-06 1.69214e-06 6.19109e-07 -3.31382e-08 9.32371e+04
2.25260e+03 1.00000e+00 7.13093e-06 7.91182e-06 2.30744e-06 -2.85535e-07 9.32371e+04
2.25100e+03 -2.64740e-03 3.22357e-06 3.56700e-06 1.01252e-06 -8.06173e-08 9.32371e+04
8.84350e+02 2.81680e-03 7.72528e-03 9.34898e-03 7.36013e-04 4.41335e-04 9.32371e+04
4.72540e+02 1.30060e-02 2.16590e-01 2.61674e-01 1.02842e-02 4.68781e-03 9.32371e+04
1.68880e+02 9.99440e-01 3.50282e+01 4.17465e+01 1.99109e+00 7.93880e-01 9.32371e+04
1.58680e+03 -3.66050e-03 1.18158e-04 1.32739e-04 1.62054e-05 -3.68361e-07 9.32371e+04
8.42600e+02 -6.82800e-03 1.02248e-02 1.29894e-02 7.20943e-04 5.30908e-04 9.32371e+04
9.59080e+02 -2.34920e-02 4.94479e-03 5.51192e-03 3.28942e-04 1.03087e-04 9.32371e+04
7.20490e+02 4.32250e-02 2.60071e-02 3.03240e-02 1.67809e-03 -2.08983e-04 9.32371e+04
3.32690e+03 2.91300e-02 1.34469e-08 1.55865e-08 8.47657e-09 -1.43565e-09 9.32371e+04
1.90450e+03 -3.11730e-03 2.10010e-05 2.22831e-05 4.14385e-06 -1.23563e-07 9.32371e+04
1.04800e+03 2.66440e-03 2.89348e-03 3.13066e-03 2.33017e-04 -6.90095e-05 9.32371e+04
7.98050e+02 9.99990e-01 3.71254e-02 4.46505e-02 2.12697e-03 1.15953e-03 9.32371e+04
9.21000e+02 -4.02800e-02 6.05881e-03 7.13953e-03 5.03265e-04 2.20566e-04 9.32371e+04
7.42070e+02 -2.52820e-01 2.09033e-02 2.63916e-02 1.38294e-03 1.69287e-03 9.32371e+04
4.98000e+02 9.63440e-01 3.88693e-01 4.64156e-01 1.96677e-02 -1.59421e-04 9.32371e+04
2.20610e+03 9.99880e-01 9.43760e-06 1.03549e-05 2.70615e-06 -4.59310e-07 9.32371e+04
9.69850e+02 -9.12170e-03 4.66656e-03 5.38022e-03 3.68479e-04 -6.31112e-05 9.32371e+04
1.94470e+03 9.93180e-01 3.75594e-05 4.30467e-05 7.62499e-06 -6.61497e-07 9.32371e+04
1.62110e+03 9.99940e-01 2.18515e-04 2.51616e-04 2.82381e-05 -6.31252e-06 9.32371e+04
1.42480e+03 9.99860e-01 6.79108e-04 7.64458e-04 7.49866e-05 -6.70967e-06 9.32371e+04
1.55780e+03 1.41880e-03 1.37554e-04 1.49280e-04 1.61063e-05 -2.15436e-06 9.32371e+04
1.15300e+03 -1.49580e-01 1.42306e-03 1.59853e-03 1.17333e-04 8.24297e-06 9.32371e+04
1.07270e+03 9.99990e-01 5.73521e-03 6.72793e-03 4.39333e-04 -2.52107e-04 9.32371e+04
1.25250e+03 9.99970e-01 1.96019e-03 2.15289e-03 1.65553e-04 3.34701e-05 9.32371e+04
1.20960e+03 1.00000e+00 2.40608e-03 2.86153e-03 2.21118e-04 -7.10820e-05 9.32371e+04
8.72820e+02 -8.27200e-03 8.33842e-03 1.03388e-02 7.94583e-04 1.53877e-04 9.32371e+04
1.83570e+03 -4.91470e-03 3.01399e-05 3.31135e-05 5.74285e-06 -1.82605e-07 9.32371e+04
4.83410e+02 9.99580e-01 4.99335e-01 5.97102e-01 2.25293e-02 -2.77724e-03 9.32371e+04
1.23180e+03 9.99990e-01 2.14125e-03 2.46855e-03 1.68084e-04 -1.67760e-04 9.32371e+04
1.54690e+03 9.45800e-03 1.43614e-04 1.62300e-04 1.82616e-05 -1.20779e-06 9.32371e+04
7.14790e+02 1.00000e+00 6.79666e-02 7.82175e-02 3.13588e-03 6.00192e-05 9.32371e+04
1.23480e+03 1.00000e+00 2.20655e-03 2.40612e-03 1.79568e-04 -1.22565e-04 9.32371e+04
6.35020e+02 -1.24650e-01 5.20133e-02 5.90545e-02 2.89922e-03 -2.13521e-03 9.32371e+04
2.98950e+03 -2.26600e-01 7.01375e-08 7.42581e-08 5.58727e-08 -3.01575e-09 9.32371e+04
