masses     LO_data     LO_up     LO_down     NLO_data     NLO_up     NLO_down
2.18560e+03 4.53213e-06 3.86673e-06 5.28505e-06 4.79904e-06 3.77339e-06 6.10178e-06
9.99310e+02 3.71831e-03 3.35249e-03 4.16145e-03 4.14225e-03 3.34858e-03 5.30758e-03
1.00670e+03 3.52709e-03 3.12380e-03 3.92583e-03 4.02392e-03 3.21894e-03 5.04488e-03
1.50930e+03 1.76380e-04 1.56761e-04 2.04272e-04 1.90076e-04 1.54117e-04 2.48614e-04
1.65340e+03 7.86377e-05 6.79949e-05 9.00221e-05 8.59243e-05 6.80488e-05 1.09958e-04
1.33010e+03 4.87688e-04 4.51317e-04 5.53131e-04 5.19129e-04 4.23370e-04 6.74449e-04
2.79060e+03 1.89944e-07 1.63214e-07 2.24894e-07 2.04065e-07 1.57495e-07 2.55976e-07
8.29250e+02 1.14956e-02 1.08326e-02 1.29341e-02 1.37604e-02 1.02020e-02 1.68314e-02
3.23470e+03 2.13429e-08 1.77417e-08 2.52384e-08 2.25640e-08 1.74430e-08 2.87284e-08
6.26170e+02 5.32349e-02 4.96365e-02 5.88806e-02 6.21796e-02 4.99765e-02 7.84875e-02
3.83370e+02 5.47988e-01 5.12471e-01 5.76906e-01 6.59411e-01 4.90177e-01 8.27545e-01
1.77490e+03 4.05808e-05 3.57271e-05 4.65679e-05 4.28936e-05 3.42759e-05 5.62170e-05
8.44180e+02 1.07809e-02 9.61716e-03 1.16715e-02 1.21824e-02 9.69441e-03 1.50015e-02
1.21870e+03 9.37939e-04 8.36659e-04 1.06151e-03 1.04659e-03 8.08183e-04 1.30184e-03
1.90480e+03 1.97751e-05 1.68929e-05 2.33686e-05 2.17920e-05 1.71480e-05 2.81171e-05
1.83970e+03 2.89465e-05 2.44454e-05 3.29233e-05 3.05784e-05 2.41015e-05 3.97463e-05
1.53300e+03 1.56650e-04 1.36919e-04 1.75038e-04 1.71945e-04 1.31202e-04 2.10206e-04
1.60040e+03 1.04866e-04 9.23408e-05 1.21293e-04 1.15166e-04 9.40071e-05 1.49168e-04
5.43370e+02 1.10394e-01 1.06350e-01 1.21234e-01 1.29596e-01 9.62438e-02 1.62849e-01
2.50220e+03 8.34598e-07 7.26940e-07 9.86862e-07 8.79332e-07 7.13435e-07 1.17249e-06
9.99190e+02 3.80143e-03 3.31755e-03 4.19570e-03 4.20903e-03 3.28316e-03 5.23392e-03
3.36760e+03 1.13170e-08 9.80771e-09 1.40050e-08 1.23107e-08 9.90048e-09 1.60612e-08
2.56520e+03 6.12371e-07 5.21802e-07 7.22710e-07 6.61964e-07 5.04072e-07 8.32105e-07
1.05490e+03 2.72472e-03 2.29854e-03 3.01484e-03 2.90929e-03 2.29416e-03 3.70027e-03
1.13050e+03 1.64186e-03 1.47837e-03 1.84509e-03 1.78530e-03 1.40767e-03 2.25019e-03
9.12460e+02 6.55329e-03 6.25294e-03 7.49635e-03 7.45999e-03 5.96905e-03 9.29114e-03
2.46110e+03 1.03784e-06 8.82841e-07 1.22956e-06 1.12319e-06 8.51962e-07 1.45145e-06
2.10080e+02 5.99951e+00 5.84491e+00 5.99353e+00 7.64322e+00 5.32991e+00 1.01958e+01
1.25400e+03 7.75425e-04 6.78068e-04 8.73252e-04 8.41025e-04 6.72742e-04 1.06046e-03
8.47140e+02 1.06397e-02 9.37678e-03 1.13270e-02 1.17291e-02 9.27875e-03 1.47066e-02
