masses    LO_data    NLO_data
1.00000e+02 2.22600e+02 2.80628e+02
1.80000e+02 2.80359e+01 3.45444e+01
3.00000e+02 3.87755e+00 4.77999e+00
3.80000e+02 1.46199e+00 1.76313e+00
6.00000e+01 1.33740e+03 1.79924e+03
1.60000e+02 4.35530e+01 5.30562e+01
2.60000e+02 6.98906e+00 8.42397e+00
3.60000e+02 1.82122e+00 2.19011e+00
8.00000e+01 4.73094e+02 6.25651e+02
2.00000e+02 1.92183e+01 2.31270e+01
3.00000e+02 3.97078e+00 4.83060e+00
3.80000e+02 1.46203e+00 1.75676e+00
8.00000e+01 4.69447e+02 6.27358e+02
1.80000e+02 2.77352e+01 3.44792e+01
2.80000e+02 5.28241e+00 6.28226e+00
3.80000e+02 1.45541e+00 1.75219e+00
8.00000e+01 4.79072e+02 6.20169e+02
2.00000e+02 1.87130e+01 2.30971e+01
3.00000e+02 3.96845e+00 4.74025e+00
3.80000e+02 1.48447e+00 1.75026e+00
8.00000e+01 4.82891e+02 6.15963e+02
1.60000e+02 4.24354e+01 5.30539e+01
2.60000e+02 6.99519e+00 8.50840e+00
3.40000e+02 2.34587e+00 2.85382e+00
1.40000e+02 6.81113e+01 8.58822e+01
1.60000e+02 4.28897e+01 5.33692e+01
2.60000e+02 7.02645e+00 8.53552e+00
3.60000e+02 1.83687e+00 2.23743e+00
8.00000e+01 4.72741e+02 6.20942e+02
2.20000e+02 1.32704e+01 1.61736e+01
3.00000e+02 3.98850e+00 4.75447e+00
4.00000e+02 1.18620e+00 1.39113e+00
6.00000e+01 1.36519e+03 1.79132e+03
2.20000e+02 1.31116e+01 1.58592e+01
3.00000e+02 3.96882e+00 4.78369e+00
3.80000e+02 1.46202e+00 1.75896e+00
6.00000e+01 1.37660e+03 1.81705e+03
2.20000e+02 1.30901e+01 1.62877e+01
3.20000e+02 3.04749e+00 3.67725e+00
4.00000e+02 1.21404e+00 1.39502e+00
6.00000e+01 1.36551e+03 1.76659e+03
2.20000e+02 1.29996e+01 1.58956e+01
3.00000e+02 3.94900e+00 4.74977e+00
4.00000e+02 1.18128e+00 1.40096e+00
1.40000e+02 6.87477e+01 8.53736e+01
1.60000e+02 4.22220e+01 5.33525e+01
2.60000e+02 7.00649e+00 8.54179e+00
3.80000e+02 1.48075e+00 1.73655e+00
6.00000e+01 1.35599e+03 1.82559e+03
2.20000e+02 1.33999e+01 1.62992e+01
3.20000e+02 3.02021e+00 3.65238e+00
4.00000e+02 1.17784e+00 1.42860e+00
1.40000e+02 6.83942e+01 8.60207e+01
2.20000e+02 1.31974e+01 1.57824e+01
3.00000e+02 4.00940e+00 4.80079e+00
4.00000e+02 1.19076e+00 1.42252e+00
1.40000e+02 6.85489e+01 8.64824e+01
2.20000e+02 1.32348e+01 1.60311e+01
3.00000e+02 3.93877e+00 4.80632e+00
4.00000e+02 1.16997e+00 1.37574e+00
1.00000e+02 2.21031e+02 2.87941e+02
2.20000e+02 1.32813e+01 1.64494e+01
3.20000e+02 3.00467e+00 3.65568e+00
4.00000e+02 1.18161e+00 1.39874e+00
6.00000e+01 1.35841e+03 1.79693e+03
1.60000e+02 4.29801e+01 5.34539e+01
2.60000e+02 6.94746e+00 8.38642e+00
3.80000e+02 1.46721e+00 1.72662e+00
1.40000e+02 6.86803e+01 8.58000e+01
2.00000e+02 1.86409e+01 2.31678e+01
3.00000e+02 3.88517e+00 4.71244e+00
4.00000e+02 1.18491e+00 1.40675e+00
1.40000e+02 6.99303e+01 8.69570e+01
1.80000e+02 2.72718e+01 3.42975e+01
3.00000e+02 3.96592e+00 4.81908e+00
4.00000e+02 1.19351e+00 1.43796e+00
6.00000e+01 1.39605e+03 1.77912e+03
1.80000e+02 2.80628e+01 3.44523e+01
2.80000e+02 5.20109e+00 6.33138e+00
4.00000e+02 1.18123e+00 1.41064e+00
1.00000e+02 2.24025e+02 2.76232e+02
1.60000e+02 4.24862e+01 5.25645e+01
2.60000e+02 7.01403e+00 8.54240e+00
3.60000e+02 1.87689e+00 2.25791e+00
1.20000e+02 1.16658e+02 1.50203e+02
2.00000e+02 1.86863e+01 2.31268e+01
2.80000e+02 5.27416e+00 6.26657e+00
3.80000e+02 1.50037e+00 1.79266e+00
1.00000e+02 2.19621e+02 2.86673e+02
1.60000e+02 4.39739e+01 5.31012e+01
2.40000e+02 9.49975e+00 1.15668e+01
3.40000e+02 2.34314e+00 2.84133e+00
1.20000e+02 1.17820e+02 1.48718e+02
1.80000e+02 2.77226e+01 3.43412e+01
2.80000e+02 5.27127e+00 6.35999e+00
3.60000e+02 1.86221e+00 2.22957e+00
1.40000e+02 6.85931e+01 8.60552e+01
1.80000e+02 2.85218e+01 3.53709e+01
2.60000e+02 7.07364e+00 8.55742e+00
3.60000e+02 1.90012e+00 2.22778e+00
1.00000e+02 2.14961e+02 2.82043e+02
1.80000e+02 2.85113e+01 3.46283e+01
2.80000e+02 5.22453e+00 6.31697e+00
4.00000e+02 1.18556e+00 1.39334e+00
1.00000e+02 2.22555e+02 2.84204e+02
1.80000e+02 2.81176e+01 3.45425e+01
2.80000e+02 5.19868e+00 6.44596e+00
4.00000e+02 1.19579e+00 1.38482e+00
8.00000e+01 4.86296e+02 6.16459e+02
1.80000e+02 2.78116e+01 3.45949e+01
2.80000e+02 5.22062e+00 6.22106e+00
4.00000e+02 1.17701e+00 1.41075e+00
8.00000e+01 4.90722e+02 6.10609e+02
2.00000e+02 1.89760e+01 2.34104e+01
2.80000e+02 5.19576e+00 6.40578e+00
4.00000e+02 1.17500e+00 1.40878e+00
6.00000e+01 1.38765e+03 1.75472e+03
1.60000e+02 4.28378e+01 5.32181e+01
2.60000e+02 6.92101e+00 8.56574e+00
3.80000e+02 1.48322e+00 1.74968e+00
8.00000e+01 4.82354e+02 6.18287e+02
2.40000e+02 9.46334e+00 1.15966e+01
3.40000e+02 2.36113e+00 2.83399e+00
8.00000e+01 4.76577e+02 6.20128e+02
2.40000e+02 9.48266e+00 1.15776e+01
3.40000e+02 2.35461e+00 2.85039e+00
8.00000e+01 4.72469e+02 6.18448e+02
2.40000e+02 9.43826e+00 1.17120e+01
3.40000e+02 2.36816e+00 2.83388e+00
8.00000e+01 4.84287e+02 6.23920e+02
2.00000e+02 1.89750e+01 2.34818e+01
3.00000e+02 3.97093e+00 4.74395e+00
4.00000e+02 1.17970e+00 1.39268e+00
8.00000e+01 4.70860e+02 6.34638e+02
2.40000e+02 9.74214e+00 1.15916e+01
3.40000e+02 2.39980e+00 2.87189e+00
8.00000e+01 4.87071e+02 6.24195e+02
2.40000e+02 9.56573e+00 1.17867e+01
3.40000e+02 2.37636e+00 2.82213e+00
1.40000e+02 6.79426e+01 8.61633e+01
2.00000e+02 1.90055e+01 2.30995e+01
1.40000e+02 6.80612e+01 8.72365e+01
1.80000e+02 2.77431e+01 3.44473e+01
1.40000e+02 6.82333e+01 8.40301e+01
2.00000e+02 1.89694e+01 2.28542e+01
1.00000e+02 2.24490e+02 2.85082e+02
1.60000e+02 4.33174e+01 5.36411e+01
2.60000e+02 6.99243e+00 8.53336e+00
3.40000e+02 2.34381e+00 2.85220e+00
6.00000e+01 1.33473e+03 1.79448e+03
1.80000e+02 2.78708e+01 3.42771e+01
2.80000e+02 5.24249e+00 6.35800e+00
3.60000e+02 1.86430e+00 2.22081e+00
6.00000e+01 1.36111e+03 1.77344e+03
1.80000e+02 2.80136e+01 3.50953e+01
2.80000e+02 5.28235e+00 6.26364e+00
3.60000e+02 1.86702e+00 2.23257e+00
1.40000e+02 6.81618e+01 8.74613e+01
2.00000e+02 1.94312e+01 2.33798e+01
3.00000e+02 3.96073e+00 4.81023e+00
4.00000e+02 1.18940e+00 1.41390e+00
1.40000e+02 6.76994e+01 8.55992e+01
2.00000e+02 1.85577e+01 2.34392e+01
2.80000e+02 5.29441e+00 6.25010e+00
4.00000e+02 1.18665e+00 1.41162e+00
1.20000e+02 1.16761e+02 1.50921e+02
1.60000e+02 4.14862e+01 5.24135e+01
2.60000e+02 6.94816e+00 8.23601e+00
3.60000e+02 1.88161e+00 2.25455e+00
6.00000e+01 1.39032e+03 1.72908e+03
2.00000e+02 1.93060e+01 2.38898e+01
2.80000e+02 5.18593e+00 6.30400e+00
3.60000e+02 1.90290e+00 2.24320e+00
6.00000e+01 1.35468e+03 1.69585e+03
1.80000e+02 2.81317e+01 3.46432e+01
2.80000e+02 5.16891e+00 6.22560e+00
3.80000e+02 1.48974e+00 1.77560e+00
6.00000e+01 1.35486e+03 1.77440e+03
2.00000e+02 1.85623e+01 2.29583e+01
2.80000e+02 5.18740e+00 6.45507e+00
3.80000e+02 1.47561e+00 1.74972e+00
6.00000e+01 1.41167e+03 1.79208e+03
1.80000e+02 2.79527e+01 3.47930e+01
2.60000e+02 6.90403e+00 8.46095e+00
3.80000e+02 1.46673e+00 1.75803e+00
6.00000e+01 1.36893e+03 1.80390e+03
1.80000e+02 2.78523e+01 3.47969e+01
2.80000e+02 5.22337e+00 6.24219e+00
3.60000e+02 1.86447e+00 2.22288e+00
1.00000e+02 2.18914e+02 2.81886e+02
2.00000e+02 1.90100e+01 2.32012e+01
2.80000e+02 5.26145e+00 6.23738e+00
3.80000e+02 1.47259e+00 1.75252e+00
1.20000e+02 1.20890e+02 1.46758e+02
1.60000e+02 4.27895e+01 5.35871e+01
2.60000e+02 6.96132e+00 8.56354e+00
3.60000e+02 1.85875e+00 2.23221e+00
6.00000e+01 1.36672e+03 1.80407e+03
2.20000e+02 1.32605e+01 1.61543e+01
3.20000e+02 3.08126e+00 3.66443e+00
6.00000e+01 1.35909e+03 1.79080e+03
2.00000e+02 1.93074e+01 2.33276e+01
3.00000e+02 3.93373e+00 4.80060e+00
4.00000e+02 1.17819e+00 1.38897e+00
6.00000e+01 1.32604e+03 1.79571e+03
2.20000e+02 1.30928e+01 1.62549e+01
3.20000e+02 3.03767e+00 3.65010e+00
8.00000e+01 4.73116e+02 6.25908e+02
2.20000e+02 1.32183e+01 1.62216e+01
3.20000e+02 3.05470e+00 3.66645e+00
4.00000e+02 1.17524e+00 1.40350e+00
6.00000e+01 1.33427e+03 1.77304e+03
2.20000e+02 1.33324e+01 1.63389e+01
3.20000e+02 3.06897e+00 3.61951e+00
8.00000e+01 4.81303e+02 6.29706e+02
2.20000e+02 1.33906e+01 1.61937e+01
3.20000e+02 3.04856e+00 3.62321e+00
8.00000e+01 4.80300e+02 6.25460e+02
2.20000e+02 1.34042e+01 1.64739e+01
3.20000e+02 3.01049e+00 3.70936e+00
1.00000e+02 2.23752e+02 2.80739e+02
2.40000e+02 9.54081e+00 1.17555e+01
3.40000e+02 2.34530e+00 2.89433e+00
8.00000e+01 4.78652e+02 6.21387e+02
2.00000e+02 1.91273e+01 2.30915e+01
3.00000e+02 4.02227e+00 4.78581e+00
4.00000e+02 1.20254e+00 1.40685e+00
1.20000e+02 1.16508e+02 1.51854e+02
2.00000e+02 1.90710e+01 2.35943e+01
3.00000e+02 3.95552e+00 4.75839e+00
4.00000e+02 1.17985e+00 1.39862e+00
6.00000e+01 1.38040e+03 1.78727e+03
2.00000e+02 1.91734e+01 2.32162e+01
3.00000e+02 3.95557e+00 4.77904e+00
4.00000e+02 1.17666e+00 1.39028e+00
1.20000e+02 1.20247e+02 1.48354e+02
1.60000e+02 4.27385e+01 5.34725e+01
2.60000e+02 6.95455e+00 8.52778e+00
3.60000e+02 1.84772e+00 2.21748e+00
1.00000e+02 2.16440e+02 2.86268e+02
1.80000e+02 2.79814e+01 3.41885e+01
2.80000e+02 5.16220e+00 6.30863e+00
3.80000e+02 1.47788e+00 1.77161e+00
1.00000e+02 2.28929e+02 2.84063e+02
1.60000e+02 4.37424e+01 5.31490e+01
2.60000e+02 6.98661e+00 8.46869e+00
3.80000e+02 1.47432e+00 1.76389e+00
1.00000e+02 2.23378e+02 2.85978e+02
1.80000e+02 2.76494e+01 3.44554e+01
2.80000e+02 5.17804e+00 6.32746e+00
3.80000e+02 1.48512e+00 1.74758e+00
1.40000e+02 6.89836e+01 8.73468e+01
2.20000e+02 1.32614e+01 1.62128e+01
3.20000e+02 2.98572e+00 3.64826e+00
1.20000e+02 1.19347e+02 1.49856e+02
2.20000e+02 1.33695e+01 1.61098e+01
3.20000e+02 3.07736e+00 3.70881e+00
1.20000e+02 1.16474e+02 1.48285e+02
