masses     LO_data     LO_up     LO_down     NLO_data     NLO_up     NLO_down
3.11490e+03 8.46167e-08 7.19824e-08 1.00037e-07 8.89824e-08 7.10497e-08 1.16233e-07
3.44190e+03 1.87307e-08 1.56432e-08 2.19478e-08 1.99594e-08 1.60274e-08 2.60861e-08
2.73220e+03 5.80373e-07 4.69722e-07 6.85054e-07 6.20366e-07 4.69973e-07 7.71476e-07
8.18670e+02 3.24942e-02 2.84750e-02 3.42118e-02 3.59873e-02 2.71184e-02 4.70162e-02
1.16870e+03 3.17935e-03 2.93189e-03 3.56106e-03 3.54285e-03 2.74351e-03 4.44484e-03
8.73380e+02 2.23023e-02 2.00731e-02 2.39572e-02 2.36798e-02 1.86328e-02 3.19605e-02
3.09140e+03 9.61619e-08 7.99006e-08 1.10489e-07 1.00994e-07 7.75521e-08 1.29864e-07
2.01370e+03 2.52900e-05 2.26588e-05 3.18061e-05 2.72321e-05 2.14440e-05 3.57734e-05
2.28920e+03 5.88313e-06 5.09809e-06 6.94205e-06 6.17100e-06 5.01032e-06 8.02339e-06
1.16870e+03 3.15031e-03 2.82318e-03 3.61661e-03 3.42484e-03 2.77038e-03 4.41837e-03
2.75910e+03 5.03982e-07 4.17633e-07 6.09008e-07 5.19455e-07 4.09241e-07 6.93326e-07
9.81940e+02 1.03854e-02 9.39082e-03 1.22426e-02 1.17340e-02 9.18057e-03 1.43561e-02
1.70250e+03 1.40886e-04 1.31731e-04 1.64375e-04 1.56983e-04 1.22121e-04 1.98482e-04
3.21620e+03 5.30947e-08 4.52362e-08 6.32766e-08 5.53516e-08 4.36907e-08 7.17538e-08
1.30070e+03 1.45941e-03 1.29831e-03 1.58807e-03 1.54479e-03 1.25515e-03 2.04194e-03
2.64710e+03 8.80581e-07 7.86679e-07 1.06065e-06 9.45896e-07 7.04996e-07 1.25806e-06
3.67570e+02 1.71951e+00 1.61506e+00 1.79471e+00 2.09331e+00 1.49427e+00 2.72620e+00
9.85350e+02 1.03324e-02 9.27551e-03 1.13990e-02 1.09434e-02 8.91854e-03 1.44649e-02
2.32440e+02 1.06888e+01 1.05569e+01 1.11419e+01 1.36647e+01 9.45428e+00 1.86313e+01
1.55930e+03 3.21232e-04 2.84529e-04 3.63483e-04 3.36353e-04 2.73363e-04 4.48396e-04
1.12500e+03 4.19058e-03 3.75490e-03 4.75754e-03 4.63463e-03 3.67207e-03 5.94366e-03
8.83720e+02 1.99443e-02 1.77147e-02 2.25684e-02 2.28295e-02 1.75783e-02 2.90397e-02
1.89050e+03 5.29963e-05 4.55135e-05 6.00096e-05 5.49316e-05 4.19917e-05 6.94367e-05
2.88180e+02 4.65609e+00 4.45808e+00 4.80202e+00 5.64277e+00 3.98308e+00 7.80868e+00
2.76820e+02 5.46487e+00 5.24614e+00 5.69237e+00 6.86238e+00 4.66810e+00 9.10435e+00
1.86330e+03 6.01797e-05 4.94777e-05 6.70599e-05 6.40460e-05 4.82824e-05 8.15697e-05
3.02310e+03 1.33391e-07 1.13046e-07 1.55476e-07 1.41040e-07 1.08557e-07 1.80537e-07
3.47820e+03 1.60011e-08 1.33038e-08 1.88228e-08 1.67985e-08 1.36922e-08 2.14371e-08
2.61420e+03 1.03503e-06 9.08561e-07 1.26883e-06 1.11362e-06 8.66682e-07 1.42607e-06
2.31930e+02 1.09686e+01 1.04596e+01 1.10578e+01 1.39528e+01 9.07214e+00 1.87615e+01
9.74580e+02 1.10497e-02 9.94347e-03 1.25074e-02 1.19367e-02 9.47264e-03 1.58154e-02
2.38030e+03 3.61317e-06 3.12255e-06 4.34046e-06 3.81587e-06 2.91537e-06 5.06136e-06
3.23220e+03 4.94958e-08 4.11132e-08 5.88534e-08 5.14036e-08 4.04107e-08 6.58845e-08
7.86480e+02 4.01261e-02 3.64928e-02 4.42041e-02 4.73834e-02 3.51422e-02 5.87926e-02
3.16870e+03 6.53123e-08 5.40145e-08 7.69929e-08 6.95004e-08 5.52081e-08 9.02765e-08
1.01880e+03 8.26028e-03 7.40724e-03 9.46052e-03 8.69153e-03 7.04436e-03 1.14958e-02
2.15540e+03 1.26647e-05 1.03758e-05 1.45710e-05 1.28982e-05 9.74139e-06 1.63165e-05
1.03950e+03 7.12323e-03 6.88967e-03 8.12732e-03 7.84096e-03 6.18429e-03 9.81878e-03
2.17640e+03 1.09620e-05 9.49503e-06 1.27445e-05 1.15340e-05 8.86333e-06 1.48495e-05
2.97410e+03 1.69608e-07 1.41125e-07 1.99051e-07 1.80846e-07 1.42931e-07 2.38859e-07
8.13260e+02 3.42630e-02 3.06406e-02 3.70652e-02 3.74060e-02 2.83589e-02 4.90552e-02
1.02760e+03 7.75346e-03 7.02448e-03 8.89658e-03 8.36022e-03 6.70712e-03 1.08285e-02
2.36500e+03 3.98858e-06 3.31757e-06 4.78136e-06 4.07150e-06 3.32045e-06 5.33988e-06
2.04040e+03 2.28024e-05 1.94876e-05 2.65516e-05 2.36990e-05 1.85553e-05 3.06989e-05
2.66020e+03 8.32182e-07 7.18519e-07 9.90940e-07 8.84529e-07 6.84561e-07 1.15841e-06
2.30510e+03 5.38378e-06 4.76510e-06 6.56791e-06 5.69303e-06 4.56315e-06 7.58936e-06
9.39760e+02 1.34247e-02 1.27523e-02 1.58946e-02 1.53582e-02 1.18328e-02 2.00475e-02
1.68250e+03 1.61623e-04 1.40761e-04 1.83094e-04 1.74910e-04 1.31517e-04 2.21214e-04
2.48550e+03 2.12969e-06 1.78327e-06 2.49450e-06 2.19831e-06 1.72255e-06 2.90623e-06
1.80730e+03 8.21202e-05 6.93416e-05 9.21985e-05 8.74706e-05 6.67304e-05 1.10990e-04
