masses      stau_mix      LO_data      LO_err      NLO_data      NLO_err      Alpha_err      time_elapsed
2.88180e+02 1.00000e+00 4.69001e+00 0.00000e+00 5.75840e+00 2.52095e-01 -4.30578e-02 1.09633e+05
2.76820e+02 1.00000e+00 5.52168e+00 0.00000e+00 6.60640e+00 3.46973e-01 -1.40389e-01 1.09633e+05
1.86330e+03 1.00000e+00 5.91725e-05 0.00000e+00 6.78000e-05 1.13977e-05 2.26298e-06 1.09633e+05
3.02310e+03 1.00000e+00 1.31112e-07 0.00000e+00 1.47701e-07 7.28391e-08 -3.17748e-09 1.09633e+05
3.47820e+03 1.00000e+00 1.58451e-08 0.00000e+00 1.73861e-08 8.82699e-09 -2.11877e-09 1.09633e+05
2.61420e+03 1.00000e+00 1.04154e-06 0.00000e+00 1.17848e-06 4.46736e-07 -1.98115e-08 1.09633e+05
2.31930e+02 1.00000e+00 1.09991e+01 0.00000e+00 1.25950e+01 6.39147e-01 -5.71892e-01 1.09633e+05
9.74580e+02 1.00000e+00 1.12615e-02 0.00000e+00 1.29541e-02 1.02323e-03 8.14738e-04 1.09633e+05
2.38030e+03 1.00000e+00 3.63234e-06 0.00000e+00 4.11628e-06 1.24927e-06 -2.28360e-07 1.09633e+05
3.23220e+03 1.00000e+00 4.68698e-08 0.00000e+00 5.20299e-08 2.48757e-08 -2.97211e-09 1.09633e+05
7.86480e+02 1.00000e+00 3.96964e-02 0.00000e+00 4.94665e-02 2.65181e-03 -2.54904e-03 1.09633e+05
3.16870e+03 1.00000e+00 6.63351e-08 0.00000e+00 7.03092e-08 3.62423e-08 -7.55933e-09 1.09633e+05
1.01880e+03 1.00000e+00 7.85579e-03 0.00000e+00 9.05536e-03 7.54651e-04 -5.04889e-04 1.09633e+05
2.15540e+03 1.00000e+00 1.21229e-05 0.00000e+00 1.35006e-05 3.36648e-06 -8.84338e-08 1.09633e+05
1.03950e+03 1.00000e+00 6.67370e-03 0.00000e+00 8.44364e-03 6.36505e-04 3.83018e-04 1.09633e+05
2.17640e+03 1.00000e+00 1.06677e-05 0.00000e+00 1.18280e-05 3.13959e-06 -5.52413e-07 1.09633e+05
2.97410e+03 1.00000e+00 1.70985e-07 0.00000e+00 1.86214e-07 9.76989e-08 -1.84607e-08 1.09633e+05
8.13260e+02 1.00000e+00 3.36269e-02 0.00000e+00 3.73369e-02 2.17435e-03 -2.59509e-03 1.09633e+05
1.02760e+03 1.00000e+00 7.71012e-03 0.00000e+00 8.69794e-03 6.94108e-04 -4.03072e-04 1.09633e+05
2.36500e+03 1.00000e+00 3.97979e-06 0.00000e+00 4.41083e-06 1.37247e-06 -3.76338e-07 1.09633e+05
2.04040e+03 1.00000e+00 2.18260e-05 0.00000e+00 2.51351e-05 5.63433e-06 -9.06352e-07 1.09633e+05
2.66020e+03 1.00000e+00 8.16954e-07 0.00000e+00 9.34460e-07 3.72905e-07 -1.67855e-08 1.09633e+05
2.30510e+03 1.00000e+00 5.43484e-06 0.00000e+00 6.18020e-06 1.90444e-06 8.58301e-08 1.09633e+05
9.39760e+02 1.00000e+00 1.34588e-02 0.00000e+00 1.52816e-02 1.10010e-03 1.16502e-04 1.09633e+05
1.68250e+03 1.00000e+00 1.73021e-04 0.00000e+00 1.80213e-04 2.36879e-05 -9.22731e-07 1.09633e+05
2.48550e+03 1.00000e+00 2.12896e-06 0.00000e+00 2.31817e-06 8.15230e-07 1.37071e-07 1.09633e+05
1.80730e+03 1.00000e+00 7.99517e-05 0.00000e+00 8.89076e-05 1.53695e-05 -3.41206e-06 1.09633e+05
2.00230e+03 1.00000e+00 2.74933e-05 0.00000e+00 3.04341e-05 6.03131e-06 -2.78750e-06 1.09633e+05
1.78270e+03 1.00000e+00 9.23707e-05 0.00000e+00 1.04456e-04 1.42855e-05 4.46377e-06 1.09633e+05
5.64760e+02 1.00000e+00 2.30438e-01 0.00000e+00 2.79942e-01 1.44929e-02 -6.24455e-03 1.09633e+05
8.01670e+02 1.00000e+00 3.72337e-02 0.00000e+00 4.21316e-02 2.87524e-03 1.49313e-04 1.09633e+05
4.86830e+02 1.00000e+00 4.81948e-01 0.00000e+00 5.77576e-01 2.64406e-02 -2.19946e-03 1.09633e+05
1.35700e+03 1.00000e+00 1.04768e-03 0.00000e+00 1.19127e-03 1.10213e-04 -3.04187e-05 1.09633e+05
1.85140e+03 1.00000e+00 6.44126e-05 0.00000e+00 7.11888e-05 1.23972e-05 -3.42638e-06 1.09633e+05
2.53660e+02 1.00000e+00 7.65745e+00 0.00000e+00 9.60456e+00 5.21740e-01 1.21181e-01 1.09633e+05
2.69720e+03 1.00000e+00 6.58053e-07 0.00000e+00 7.40006e-07 2.93397e-07 -1.21494e-08 1.09633e+05
8.79870e+02 1.00000e+00 1.97069e-02 0.00000e+00 2.40603e-02 1.76215e-03 3.09708e-04 1.09633e+05
1.70810e+03 1.00000e+00 1.33428e-04 0.00000e+00 1.58751e-04 2.28130e-05 -1.17419e-05 1.09633e+05
3.49330e+03 1.00000e+00 1.47014e-08 0.00000e+00 1.68509e-08 8.09848e-09 -6.78272e-10 1.09633e+05
1.43600e+03 1.00000e+00 6.51629e-04 0.00000e+00 7.37912e-04 6.81023e-05 -7.51826e-06 1.09633e+05
3.25580e+03 1.00000e+00 4.27585e-08 0.00000e+00 4.73789e-08 2.44387e-08 -2.63953e-09 1.09633e+05
1.90980e+03 1.00000e+00 4.74161e-05 0.00000e+00 5.10756e-05 8.97856e-06 -3.85754e-06 1.09633e+05
6.25270e+02 1.00000e+00 1.39826e-01 0.00000e+00 1.63663e-01 8.04933e-03 -1.36671e-03 1.09633e+05
1.50510e+03 1.00000e+00 4.33398e-04 0.00000e+00 5.12492e-04 4.97625e-05 -4.19066e-06 1.09633e+05
8.94250e+02 1.00000e+00 1.87434e-02 0.00000e+00 2.15823e-02 1.45498e-03 -1.62177e-03 1.09633e+05
3.49770e+03 1.00000e+00 1.52029e-08 0.00000e+00 1.57084e-08 8.43091e-09 -2.75327e-09 1.09633e+05
2.42750e+03 1.00000e+00 2.82033e-06 0.00000e+00 3.15602e-06 1.01519e-06 -2.15565e-07 1.09633e+05
1.16280e+03 1.00000e+00 3.26593e-03 0.00000e+00 3.83588e-03 2.72464e-04 -9.27000e-05 1.09633e+05
2.22240e+03 1.00000e+00 8.31524e-06 0.00000e+00 9.00844e-06 2.46980e-06 -2.39540e-07 1.09633e+05
1.61460e+03 1.00000e+00 2.30675e-04 0.00000e+00 2.57023e-04 3.09722e-05 -1.02589e-05 1.09633e+05
