masses    NLO_data
2.20000e+02 1.60706e+01
3.00000e+02 4.63874e+00
4.00000e+02 1.35621e+00
1.00000e+02 2.91110e+02
2.20000e+02 1.59534e+01
3.20000e+02 3.64708e+00
4.00000e+02 1.36378e+00
6.00000e+01 1.85286e+03
1.60000e+02 5.38990e+01
2.60000e+02 8.55852e+00
3.80000e+02 1.70277e+00
1.40000e+02 8.30710e+01
2.00000e+02 2.35737e+01
3.00000e+02 4.80546e+00
4.00000e+02 1.36091e+00
1.40000e+02 8.66902e+01
1.80000e+02 3.44687e+01
3.00000e+02 4.76237e+00
4.00000e+02 1.34326e+00
6.00000e+01 1.85820e+03
1.80000e+02 3.39863e+01
2.80000e+02 6.28562e+00
4.00000e+02 1.41993e+00
1.00000e+02 2.80264e+02
1.60000e+02 5.22407e+01
2.60000e+02 8.23401e+00
3.60000e+02 2.16880e+00
1.20000e+02 1.44307e+02
2.00000e+02 2.25362e+01
2.80000e+02 6.45419e+00
3.80000e+02 1.70770e+00
1.00000e+02 2.75263e+02
1.60000e+02 5.41594e+01
2.40000e+02 1.11311e+01
3.40000e+02 2.76800e+00
1.20000e+02 1.50094e+02
1.80000e+02 3.41364e+01
2.80000e+02 6.15127e+00
3.60000e+02 2.17877e+00
1.40000e+02 8.51771e+01
1.80000e+02 3.47408e+01
2.60000e+02 8.09139e+00
3.60000e+02 2.23806e+00
1.00000e+02 2.82296e+02
1.80000e+02 3.58315e+01
2.80000e+02 6.27766e+00
4.00000e+02 1.36629e+00
1.00000e+02 2.75326e+02
1.80000e+02 3.34913e+01
2.80000e+02 6.07429e+00
4.00000e+02 1.41673e+00
8.00000e+01 5.86936e+02
1.80000e+02 3.29432e+01
2.80000e+02 6.33992e+00
4.00000e+02 1.37660e+00
8.00000e+01 5.88947e+02
2.00000e+02 2.29230e+01
2.80000e+02 6.18795e+00
4.00000e+02 1.40451e+00
6.00000e+01 1.63942e+03
1.60000e+02 5.51854e+01
2.60000e+02 8.36213e+00
3.80000e+02 1.75052e+00
8.00000e+01 6.50682e+02
2.40000e+02 1.14760e+01
3.40000e+02 2.82558e+00
8.00000e+01 6.07458e+02
2.40000e+02 1.10256e+01
3.40000e+02 2.71722e+00
8.00000e+01 6.57528e+02
2.40000e+02 1.14157e+01
3.40000e+02 2.84135e+00
8.00000e+01 6.28212e+02
2.00000e+02 2.24959e+01
3.00000e+02 4.76665e+00
4.00000e+02 1.41230e+00
8.00000e+01 5.87574e+02
2.40000e+02 1.18571e+01
3.40000e+02 2.75390e+00
8.00000e+01 5.97082e+02
2.40000e+02 1.13963e+01
3.40000e+02 2.70429e+00
1.40000e+02 8.64494e+01
2.00000e+02 2.26277e+01
1.40000e+02 8.62640e+01
1.80000e+02 3.53435e+01
1.40000e+02 8.58104e+01
2.00000e+02 2.32748e+01
1.00000e+02 2.85824e+02
1.60000e+02 5.21070e+01
2.60000e+02 8.29895e+00
3.40000e+02 2.82123e+00
6.00000e+01 1.79964e+03
1.80000e+02 3.42848e+01
2.80000e+02 6.23563e+00
3.60000e+02 2.18312e+00
6.00000e+01 1.86883e+03
1.80000e+02 3.56295e+01
