masses    LO_data    NLO_data
1.80000e+02 2.59682e+01 3.09881e+01
2.80000e+02 4.75340e+00 5.81294e+00
3.60000e+02 1.79420e+00 2.14590e+00
1.40000e+02 5.45761e+01 6.92245e+01
2.00000e+02 1.05611e+01 1.34249e+01
3.00000e+02 1.47410e+00 1.79035e+00
4.00000e+02 9.70996e-01 1.14435e+00
1.40000e+02 2.39097e+01 2.97242e+01
2.00000e+02 1.90225e+01 2.32700e+01
2.80000e+02 5.09723e+00 6.28782e+00
4.00000e+02 9.55601e-01 1.15374e+00
1.20000e+02 9.34709e+01 1.19831e+02
1.60000e+02 3.42995e+01 4.31268e+01
2.60000e+02 4.83896e+00 5.85166e+00
3.60000e+02 1.81523e+00 2.18201e+00
6.00000e+01 4.08484e+02 5.36640e+02
2.00000e+02 1.92647e+01 2.30796e+01
2.80000e+02 4.67086e+00 5.77013e+00
3.60000e+02 1.48496e+00 1.78560e+00
6.00000e+01 1.32601e+03 1.79078e+03
1.80000e+02 1.14247e+01 1.35782e+01
2.80000e+02 4.23933e+00 5.09649e+00
3.80000e+02 5.53292e-01 6.63671e-01
6.00000e+01 1.30686e+03 1.75191e+03
2.00000e+02 1.29210e+01 1.60682e+01
2.80000e+02 4.69957e+00 5.80016e+00
3.80000e+02 7.03182e-01 8.46833e-01
6.00000e+01 8.34241e+02 1.08203e+03
1.80000e+02 9.95336e+00 1.24052e+01
2.60000e+02 4.82980e+00 5.87351e+00
3.80000e+02 1.04205e+00 1.22266e+00
6.00000e+01 8.44076e+02 1.10449e+03
1.80000e+02 2.51353e+01 3.15924e+01
2.80000e+02 5.17814e+00 6.19250e+00
3.60000e+02 1.86297e+00 2.21757e+00
1.00000e+02 1.99006e+02 2.58255e+02
2.00000e+02 1.71454e+01 2.09454e+01
2.80000e+02 2.99595e+00 3.67150e+00
3.80000e+02 5.59104e-01 6.80619e-01
1.20000e+02 4.11558e+01 5.18564e+01
1.60000e+02 3.87454e+01 4.78489e+01
2.60000e+02 2.57369e+00 3.13647e+00
3.60000e+02 1.89463e+00 2.25424e+00
6.00000e+01 1.34448e+03 1.78616e+03
2.20000e+02 1.20879e+01 1.49253e+01
3.20000e+02 1.45733e+00 1.76706e+00
6.00000e+01 1.20374e+03 1.62849e+03
2.00000e+02 1.71368e+01 2.10011e+01
3.00000e+02 1.49961e+00 1.75686e+00
4.00000e+02 6.92778e-01 8.12315e-01
6.00000e+01 1.01117e+03 1.34087e+03
2.20000e+02 1.20464e+01 1.47514e+01
3.20000e+02 2.09420e+00 2.54444e+00
8.00000e+01 3.76943e+02 4.78692e+02
2.20000e+02 1.32770e+01 1.61494e+01
3.20000e+02 3.02600e+00 3.65783e+00
4.00000e+02 5.80758e-01 6.84112e-01
6.00000e+01 4.06765e+02 5.43102e+02
2.20000e+02 9.08338e+00 1.12303e+01
3.20000e+02 1.47899e+00 1.74724e+00
8.00000e+01 4.58093e+02 6.07846e+02
2.20000e+02 1.06196e+01 1.31491e+01
3.20000e+02 2.47947e+00 3.00960e+00
8.00000e+01 4.36993e+02 5.69263e+02
2.20000e+02 7.58430e+00 9.25520e+00
3.20000e+02 1.75011e+00 2.12077e+00
1.00000e+02 8.13859e+01 1.04617e+02
2.40000e+02 4.61722e+00 5.49053e+00
3.40000e+02 1.91816e+00 2.30158e+00
8.00000e+01 4.34400e+02 5.50395e+02
2.00000e+02 1.52990e+01 1.85970e+01
3.00000e+02 3.14125e+00 3.89167e+00
4.00000e+02 1.08204e+00 1.27996e+00
1.20000e+02 4.51860e+01 5.67842e+01
2.00000e+02 1.87053e+01 2.27719e+01
3.00000e+02 1.47287e+00 1.74503e+00
4.00000e+02 8.33405e-01 9.83890e-01
6.00000e+01 1.01645e+03 1.39148e+03
2.00000e+02 1.07222e+01 1.32730e+01
3.00000e+02 1.61023e+00 1.97041e+00
4.00000e+02 5.80426e-01 6.85168e-01
1.20000e+02 4.02059e+01 5.15323e+01
1.60000e+02 1.54766e+01 1.88610e+01
2.60000e+02 6.68615e+00 8.25816e+00
3.60000e+02 8.93443e-01 1.08818e+00
1.00000e+02 9.80094e+01 1.27938e+02
1.80000e+02 9.91449e+00 1.23399e+01
2.80000e+02 1.93552e+00 2.31575e+00
3.80000e+02 1.35030e+00 1.61066e+00
1.00000e+02 2.20315e+02 2.85074e+02
1.60000e+02 1.51559e+01 1.87868e+01
2.60000e+02 4.82871e+00 5.77221e+00
3.80000e+02 1.20964e+00 1.41170e+00
1.00000e+02 1.47680e+02 1.88709e+02
1.80000e+02 1.01670e+01 1.24752e+01
2.80000e+02 5.02079e+00 6.23738e+00
3.80000e+02 1.44873e+00 1.71122e+00
1.40000e+02 2.42540e+01 3.04492e+01
2.20000e+02 9.20502e+00 1.12463e+01
3.20000e+02 3.00343e+00 3.69194e+00
1.20000e+02 5.28348e+01 6.81549e+01
2.20000e+02 1.06077e+01 1.28694e+01
3.20000e+02 2.46633e+00 2.95482e+00
1.20000e+02 6.58693e+01 8.25758e+01
2.20000e+02 7.60376e+00 9.51642e+00
3.20000e+02 1.13617e+00 1.36244e+00
1.20000e+02 7.83822e+01 9.80862e+01
2.20000e+02 5.39619e+00 6.50468e+00
3.20000e+02 2.95379e+00 3.61053e+00
1.20000e+02 1.16444e+02 1.47968e+02
2.20000e+02 9.24057e+00 1.11424e+01
3.20000e+02 1.75459e+00 2.11675e+00
8.00000e+01 1.65520e+02 2.16099e+02
2.20000e+02 6.31459e+00 7.71415e+00
3.20000e+02 2.97271e+00 3.58339e+00
1.00000e+02 7.41593e+01 9.24441e+01
2.20000e+02 1.27313e+01 1.60521e+01
3.20000e+02 2.78576e+00 3.30341e+00
1.40000e+02 3.84543e+01 4.90700e+01
2.00000e+02 6.81335e+00 8.45131e+00
3.00000e+02 2.68509e+00 3.33605e+00
3.80000e+02 1.35146e+00 1.59441e+00
6.00000e+01 3.56073e+02 4.92980e+02
1.60000e+02 4.16665e+01 5.25586e+01
2.40000e+02 3.87171e+00 4.74368e+00
3.40000e+02 1.88303e+00 2.27159e+00
1.40000e+02 3.77118e+01 4.72039e+01
2.00000e+02 9.09178e+00 1.09900e+01
3.00000e+02 1.44446e+00 1.75936e+00
3.80000e+02 1.48398e+00 1.77908e+00
6.00000e+01 1.37860e+03 1.80370e+03
2.00000e+02 1.28849e+01 1.62273e+01
2.80000e+02 1.93906e+00 2.35613e+00
3.80000e+02 7.18736e-01 8.49350e-01
1.20000e+02 7.89164e+01 1.01390e+02
1.60000e+02 4.33841e+01 5.32253e+01
2.60000e+02 3.40678e+00 4.07608e+00
3.60000e+02 7.75098e-01 9.20836e-01
1.00000e+02 2.21629e+02 2.82082e+02
1.60000e+02 2.38700e+01 3.05841e+01
2.60000e+02 5.61911e+00 6.83162e+00
3.60000e+02 1.09121e+00 1.28162e+00
1.20000e+02 1.14524e+02 1.43542e+02
1.80000e+02 1.91058e+01 2.38509e+01
2.80000e+02 4.24150e+00 5.11162e+00
3.80000e+02 8.66437e-01 1.02017e+00
1.00000e+02 2.17635e+02 2.77334e+02
1.80000e+02 2.76458e+01 3.32572e+01
2.80000e+02 5.22628e+00 6.22482e+00
3.60000e+02 7.72959e-01 9.27365e-01
1.20000e+02 7.75483e+01 1.01818e+02
1.80000e+02 2.80703e+01 3.48385e+01
2.60000e+02 5.65437e+00 6.87955e+00
3.60000e+02 1.52320e+00 1.77202e+00
1.00000e+02 1.19894e+02 1.53555e+02
1.60000e+02 4.22701e+01 5.12895e+01
2.60000e+02 2.64074e+00 3.13481e+00
3.60000e+02 9.12342e-01 1.07212e+00
1.20000e+02 1.06709e+02 1.34232e+02
2.40000e+02 9.27446e+00 1.11901e+01
3.40000e+02 2.15651e+00 2.58176e+00
1.20000e+02 1.18596e+02 1.51350e+02
2.40000e+02 5.39713e+00 6.72107e+00
3.40000e+02 2.28134e+00 2.82027e+00
1.20000e+02 6.63918e+01 8.44584e+01
2.40000e+02 3.86612e+00 4.75610e+00
3.40000e+02 9.68403e-01 1.15821e+00
1.20000e+02 4.00340e+01 5.07583e+01
2.40000e+02 3.50275e+00 4.27955e+00
3.40000e+02 2.37040e+00 2.81863e+00
1.20000e+02 1.08202e+02 1.36315e+02
2.40000e+02 9.57326e+00 1.15614e+01
3.40000e+02 1.90928e+00 2.31507e+00
1.00000e+02 2.00655e+02 2.50248e+02
2.40000e+02 8.58475e+00 1.05015e+01
3.40000e+02 8.80367e-01 1.07028e+00
1.20000e+02 6.59443e+01 8.12597e+01
2.40000e+02 4.48738e+00 5.53684e+00
