masses      stau_mix      LO_data      NLO_data      NLO_err      Alpha_err
3.27590e+03 1.39173e-01 1.75219e-08 1.88923e-08 1.23432e-08 -1.97109e-09
2.88000e+03 1.39173e-01 1.19473e-07 1.34925e-07 7.80454e-08 -4.75287e-09
3.43010e+03 1.39173e-01 8.63630e-09 9.54821e-09 6.64104e-09 -8.55614e-10
3.38890e+03 1.39173e-01 1.04028e-08 1.14480e-08 7.87566e-09 -1.62696e-09
2.76820e+03 1.39173e-01 2.09590e-07 2.35130e-07 1.22151e-07 -1.14038e-08
1.47050e+03 1.39173e-01 2.07964e-04 2.49488e-04 2.78848e-05 -4.94652e-06
1.20340e+03 1.39173e-01 1.04224e-03 1.16073e-03 9.52752e-05 -1.41925e-05
1.87130e+03 1.39173e-01 2.43215e-05 2.75024e-05 4.90094e-06 -9.58692e-07
3.35270e+03 1.39173e-01 1.24933e-08 1.31965e-08 9.41277e-09 -1.46710e-09
1.16850e+03 1.39173e-01 1.27436e-03 1.40786e-03 1.11420e-04 -4.24101e-05
3.37790e+03 1.39173e-01 1.11718e-08 1.23034e-08 7.74383e-09 -1.30880e-09
2.09590e+03 1.39173e-01 7.25867e-06 7.83949e-06 1.77667e-06 -1.90887e-07
2.07810e+03 1.39173e-01 7.92319e-06 8.79121e-06 1.91363e-06 -4.40823e-07
2.68140e+03 1.39173e-01 3.32949e-07 3.75231e-07 1.68768e-07 -4.15239e-10
1.76620e+03 1.39173e-01 4.25894e-05 4.93875e-05 7.75693e-06 -2.66036e-06
2.08020e+03 1.39173e-01 7.94271e-06 8.57698e-06 2.03010e-06 1.33772e-08
2.77420e+03 1.39173e-01 2.09119e-07 2.26280e-07 1.20673e-07 -8.12941e-09
3.01440e+03 1.39173e-01 6.14496e-08 6.63821e-08 4.11014e-08 -3.77917e-09
2.57300e+03 1.39173e-01 5.94465e-07 6.57884e-07 2.59349e-07 -2.48235e-08
1.67220e+03 1.39173e-01 7.17676e-05 7.99656e-05 1.12934e-05 1.40840e-07
2.24680e+03 1.39173e-01 3.23744e-06 3.62924e-06 9.82159e-07 -5.63001e-08
2.76110e+03 1.39173e-01 2.14013e-07 2.43078e-07 1.28282e-07 -8.16016e-09
3.20510e+03 1.39173e-01 2.41224e-08 2.65961e-08 1.64720e-08 -2.47482e-09
3.13750e+03 1.39173e-01 3.42111e-08 3.69380e-08 2.29945e-08 -3.39602e-09
9.54660e+02 1.39173e-01 5.29009e-03 5.64496e-03 3.29242e-04 -6.27296e-05
1.80700e+03 1.39173e-01 3.49088e-05 3.67566e-05 6.06801e-06 5.67715e-07
2.27890e+03 1.39173e-01 2.79147e-06 2.98942e-06 8.47167e-07 -2.94770e-08
3.21710e+03 1.39173e-01 2.32679e-08 2.50618e-08 1.58586e-08 -2.73574e-09
1.08840e+03 1.39173e-01 2.08303e-03 2.44848e-03 1.82896e-04 -1.83986e-05
2.30380e+03 1.39173e-01 2.41386e-06 2.66160e-06 7.56468e-07 -4.10133e-08
7.90190e+02 1.39173e-01 1.56399e-02 1.85440e-02 8.39523e-04 -5.33124e-04
2.77750e+03 1.39173e-01 2.01170e-07 2.25436e-07 1.18686e-07 -1.80092e-08
2.98810e+03 1.39173e-01 6.98109e-08 7.72410e-08 4.96186e-08 -3.67115e-09
2.59110e+03 1.39173e-01 5.55646e-07 5.80826e-07 2.40846e-07 -2.42785e-08
2.33780e+03 1.39173e-01 2.00766e-06 2.18140e-06 6.58138e-07 -1.42895e-07
8.16280e+02 1.39173e-01 1.29859e-02 1.46247e-02 8.71358e-04 2.53777e-04
8.14090e+02 1.39173e-01 1.32411e-02 1.52766e-02 7.70137e-04 -4.03001e-05
2.45490e+03 1.39173e-01 1.01832e-06 1.18601e-06 4.27358e-07 -2.09336e-08
2.01660e+03 1.39173e-01 1.14793e-05 1.25063e-05 2.43183e-06 -2.60695e-07
1.57620e+03 1.39173e-01 1.23051e-04 1.40763e-04 1.64303e-05 2.38992e-06
7.56450e+02 1.39173e-01 2.06923e-02 2.29896e-02 1.22653e-03 6.98894e-04
3.43100e+03 1.39173e-01 8.45759e-09 9.59296e-09 6.62163e-09 -9.29366e-10
2.74280e+03 1.39173e-01 2.42809e-07 2.69398e-07 1.43306e-07 -1.45327e-08
2.50390e+03 1.39173e-01 8.48931e-07 9.39040e-07 3.58113e-07 -3.99164e-08
2.41270e+03 1.39173e-01 1.38215e-06 1.51211e-06 5.10634e-07 7.30989e-09
1.95830e+03 1.39173e-01 1.46109e-05 1.71598e-05 3.18083e-06 -3.95933e-07
7.59310e+02 1.39173e-01 2.01592e-02 2.31155e-02 1.18378e-03 3.65619e-04
5.82470e+02 1.39173e-01 8.03062e-02 9.24233e-02 3.68161e-03 -1.93681e-03
2.82120e+03 1.39173e-01 1.64318e-07 1.79247e-07 1.00692e-07 -3.44304e-09
